City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bluff,-46.6,168.33,45.3,79,10,2.62,NZ,1603714706
Saint Paul Harbor,57.79,-152.41,48.2,74,90,17.22,US,1603714706
Jamestown,42.1,-79.24,45.0,100,90,3.36,US,1603714611
Cockburn Town,21.46,-71.14,83.35,80,90,19.84,TC,1603714707
Rikitea,-23.12,-134.97,75.07,84,100,19.62,PF,1603714707
Port Lincoln,-34.73,135.87,54.82,79,16,11.7,AU,1603714707
Tokur,53.13,132.9,26.13,90,48,2.21,RU,1603714708
Kristianstad,56.03,14.15,54.0,93,75,5.82,SE,1603714708
Boca do Acre,-8.75,-67.4,78.62,83,48,3.31,BR,1603714433
Ushuaia,-54.8,-68.3,44.6,75,75,9.62,AR,1603714708
Ribeira Grande,38.52,-28.7,69.8,83,40,17.22,PT,1603714708
Marawi,8.0,124.29,82.0,86,100,1.01,PH,1603714708
Dikson,73.51,80.55,15.76,97,100,12.1,RU,1603714708
Atuona,-9.8,-139.03,78.53,76,4,23.11,PF,1603714709
Punta Arenas,-53.15,-70.92,51.01,81,75,9.17,CL,1603714595
Lompoc,34.64,-120.46,50.0,93,1,3.51,US,1603714709
Carauari,-4.88,-66.9,78.76,77,97,0.92,BR,1603714534
Guerrero Negro,27.98,-114.06,68.49,64,91,16.17,MX,1603714710
East London,-33.02,27.91,64.4,93,75,16.11,ZA,1603714710
Grindavik,63.84,-22.43,41.0,75,0,8.05,IS,1603714710
Olovyannaya,50.95,115.57,29.59,86,94,19.95,RU,1603714710
Tasiilaq,65.61,-37.64,33.8,59,100,24.16,GL,1603714710
Ubinskoye,55.31,79.68,39.49,94,100,10.31,RU,1603714710
Mandeville,18.04,-77.51,77.0,88,20,3.36,JM,1603714711
Hobart,-42.88,147.33,51.8,57,75,5.82,AU,1603714668
Nhamundá,-2.19,-56.71,82.22,75,39,3.36,BR,1603714711
Busselton,-33.65,115.33,63.0,65,1,6.76,AU,1603714712
Hithadhoo,-0.6,73.08,83.82,66,0,7.18,MV,1603714712
Fortuna,40.6,-124.16,41.0,52,1,9.17,US,1603714712
Saint-Philippe,-21.36,55.77,75.2,78,75,4.7,RE,1603714712
Qaanaaq,77.48,-69.36,7.39,71,71,8.19,GL,1603714712
Albany,42.6,-73.97,42.01,88,100,8.52,US,1603714712
Vuktyl,63.86,57.31,22.03,97,18,5.03,RU,1603714712
Isangel,-19.55,169.27,72.57,78,3,10.22,VU,1603714712
Ponta do Sol,32.67,-17.1,69.8,73,40,11.41,PT,1603714713
Kapaa,22.08,-159.32,78.4,76,28,4.14,US,1603714612
Beringovskiy,63.05,179.32,30.49,93,0,2.95,RU,1603714713
Geraldton,-28.77,114.6,68.0,77,0,9.17,AU,1603714714
Butaritari,3.07,172.79,81.46,69,100,9.98,KI,1603714714
Tuatapere,-46.13,167.68,45.43,75,41,1.41,NZ,1603714714
Amānganj,24.43,80.03,82.44,37,32,5.37,IN,1603714714
Leningradskiy,69.38,178.42,25.41,97,100,5.75,RU,1603714714
Tura,25.52,90.22,72.07,93,24,2.08,IN,1603714569
Cabo San Lucas,22.89,-109.91,71.01,72,4,1.99,MX,1603714714
New Norfolk,-42.78,147.06,51.01,63,11,1.7,AU,1603714714
Yellowknife,62.46,-114.35,28.4,79,90,13.87,CA,1603714502
Hermanus,-34.42,19.23,75.0,66,96,8.01,ZA,1603714715
Huarmey,-10.07,-78.15,64.42,80,82,5.41,PE,1603714775
Port Alfred,-33.59,26.89,66.7,84,98,27.02,ZA,1603714775
Fort Nelson,58.81,-122.7,24.8,73,90,2.24,CA,1603714501
George Town,5.41,100.34,80.6,78,20,2.82,MY,1603714775
Kapuskasing,49.42,-82.43,21.2,92,75,4.7,CA,1603714775
Rizhao,35.43,119.46,59.72,65,0,4.07,CN,1603714775
Winslow,35.02,-110.7,35.6,93,90,11.41,US,1603714776
Pisco,-13.7,-76.22,62.01,87,38,3.36,PE,1603714776
Chokurdakh,70.63,147.92,10.94,96,85,13.98,RU,1603714776
Portland,45.52,-122.68,36.0,66,1,2.86,US,1603714685
Barrow,71.29,-156.79,15.8,78,1,6.93,US,1603714776
Normandin,48.83,-72.53,33.8,59,90,6.93,CA,1603714776
Ancud,-41.87,-73.82,46.99,100,90,13.87,CL,1603714776
Taiyuan,37.87,112.56,62.6,21,0,6.71,CN,1603714776
Tarata,-17.62,-66.02,68.0,45,82,1.36,BO,1603714777
Yelizovo,53.19,158.38,41.0,100,75,6.71,RU,1603714777
Kruisfontein,-34.0,24.73,64.99,94,100,4.0,ZA,1603714777
Port Elizabeth,-33.92,25.57,62.6,100,90,18.34,ZA,1603714777
Mataura,-46.19,168.86,37.49,93,18,1.07,NZ,1603714777
Thompson,55.74,-97.86,23.0,85,90,5.82,CA,1603714501
